datetime,day of week,total,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
2019-07-11 15:35,Thur,23800.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,1.0,,,
2019-07-11 16:10,Thur,15800.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,
2019-07-12 11:49,Fri,58000.0,,,,,,,14.0,,,,,,,,,,,,,,,,
2019-07-13 13:19,Sat,14800.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,
2019-07-13 13:22,Sat,15600.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
2019-07-13 14:54,Sat,15800.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,
2019-07-13 15:08,Sat,15800.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,
2019-07-13 15:09,Sat,14000.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
2019-07-13 15:23,Sat,19100.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
2019-07-13 16:32,Sat,22300.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
2019-07-14 11:08,Sun,15300.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,
2019-07-14 11:15,Sun,27600.0,2.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,
2019-07-14 11:44,Sun,26300.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,
2019-07-14 11:59,Sun,19800.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,
2019-07-14 12:59,Sun,18300.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,
2019-07-14 13:05,Sun,15600.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
2019-07-14 14:06,Sun,23600.0,2.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,
2019-07-14 14:41,Sun,20100.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,
2019-07-14 14:51,Sun,25600.0,2.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,
2019-07-14 15:02,Sun,19800.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,
2019-07-15 11:45,Mon,15100.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
2019-07-15 16:21,Mon,15800.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,
2019-07-17 11:47,Wed,17800.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
2019-07-17 13:23,Wed,14800.0,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
2019-07-17 14:16,Wed,23400.0,1.0,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,
2019-07-17 16:32,Wed,18100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
2019-07-19 11:43,Fri,14800.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
2019-07-19 12:11,Fri,15800.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,
2019-07-19 12:36,Fri,21800.0,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,
2019-07-19 12:44,Fri,20600.0,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,
2019-07-19 13:35,Fri,14800.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
2019-07-19 13:50,Fri,15100.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
2019-07-19 14:12,Fri,58000.0,,,,,16.0,,,,,,,,,,,,,,,,,,
2019-07-19 15:33,Fri,35900.0,3.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,
2019-07-20 11:19,Sat,15800.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,
2019-07-20 11:35,Sat,18800.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
2019-07-20 11:40,Sat,22800.0,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,
2019-07-20 11:44,Sat,16400.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-20 12:08,Sat,15800.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,
2019-07-20 12:13,Sat,26300.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,
2019-07-20 12:31,Sat,14800.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
2019-07-20 12:55,Sat,15800.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,
2019-07-20 13:19,Sat,20500.0,,,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,
2019-07-20 13:44,Sat,18600.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
2019-07-20 13:56,Sat,17800.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
2019-07-21 11:07,Sun,18600.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,
2019-07-21 11:42,Sun,17300.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
2019-07-21 12:12,Sun,17800.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
2019-07-21 12:25,Sun,14800.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
2019-07-21 12:29,Sun,16100.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,
2019-07-21 12:47,Sun,21000.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,
2019-07-21 13:37,Sun,19300.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,
2019-07-21 13:45,Sun,22300.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
2019-07-21 14:05,Sun,18300.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,
2019-07-21 14:53,Sun,15300.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
2019-07-21 15:21,Sun,15100.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,
2019-07-22 11:38,Mon,15600.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
2019-07-22 12:16,Mon,19300.0,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,
2019-07-22 12:24,Mon,18300.0,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
2019-07-22 12:41,Mon,18300.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
2019-07-22 13:28,Mon,16600.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,
2019-07-22 13:44,Mon,14800.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,
2019-07-22 14:47,Mon,26000.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-22 15:37,Mon,19600.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
2019-07-22 16:54,Mon,18600.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,
2019-07-24 11:29,Wed,16400.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 11:56,Wed,27100.0,2.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,
2019-07-24 13:24,Wed,18800.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2019-07-24 14:25,Wed,25400.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,
2019-07-24 14:28,Wed,26300.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,
2019-07-24 15:36,Wed,16100.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,
2019-07-24 15:40,Wed,16100.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
2019-07-24 16:02,Wed,16400.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 17:20,Wed,15000.0,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,
2019-07-25 11:49,Thur,18600.0,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,
2019-07-25 11:57,Thur,26800.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,
2019-07-25 12:01,Thur,35000.0,,,,,,,,,,4.0,,,,,,,,,6.0,,,,
2019-07-25 12:35,Thur,38000.0,5.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,
2019-07-25 13:01,Thur,23100.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
2019-07-25 13:05,Thur,17300.0,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,
2019-07-25 13:40,Thur,19600.0,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,
2019-07-25 13:42,Thur,15300.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
2019-07-25 14:12,Thur,16100.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
2019-07-25 15:09,Thur,14300.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2019-07-25 15:57,Thur,15100.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,
