2019-04-01-00-00-00,강좌,0.41,1860,31.63,143492,37.72,171119,23.81,108016,5.03,22819,1.4,6351,0.24,1089,21.12,95812,42.22,191534,28.12,127568,6.29,28535,2.01,9119,42,190536,0.53,2404,39.21,177879,34.47,156376,20.69,93862,4.13,18736,0.97,4400,57,258584,39,453657
2019-04-01-00-00-00,국내숙박,0.4,9847,16.02,394355,41.12,1012226,32.57,801756,7.93,195208,1.95,48002,0.45,11077,13.49,332075,38.04,936408,34.73,854928,10.19,250841,3.1,76311,33,812341,0.37,9108,17.29,425618,42.65,1049889,31.5,775417,6.81,167638,1.39,34217,67,1649299,39,2461640
2019-04-01-00-00-00,국내여행,0.45,5390,14.96,179191,31.95,382697,32.55,389884,15.52,185899,4.56,54620,0.44,5270,11.78,141101,30.63,366886,34.14,408929,16.47,197278,6.54,78336,34,407252,0.46,5510,16.62,199074,32.63,390842,31.73,380062,15.03,180029,3.54,42402,66,790548,40,1197800
2019-04-01-00-00-00,국악/전통예술,0.68,254,29.5,11039,36.71,13737,26.8,10029,4.5,1684,1.8,674,0,0,33.33,12472,36.9,13808,23.81,8910,2.38,891,3.57,1336,19,7110,0.83,311,28.61,10706,36.67,13722,27.5,10291,5,1871,1.39,520,81,30310,27,37420
2019-04-01-00-00-00,뮤지컬,0.58,1508,11.66,30307,56.1,145815,27.75,72128,3.08,8006,0.83,2157,0.54,1404,11.16,29007,49.92,129752,32.65,84864,4.27,11099,1.46,3795,23,59782,0.59,1534,11.82,30723,57.99,150728,26.26,68255,2.72,7070,0.63,1637,77,200138,28,259920
2019-04-01-00-00-00,발레/무용,1.64,156,20.68,1971,37.57,3580,31.26,2979,7.26,692,1.59,152,0.95,91,21.14,2015,30.91,2946,30.28,2886,12.3,1172,4.42,421,16,1525,1.77,169,20.59,1962,38.82,3700,31.45,2997,6.31,601,1.06,101,84,8005,15,9530
2019-04-01-00-00-00,스포츠,1.16,163,38.08,5339,31.98,4484,18.6,2608,8.43,1182,1.74,244,1.62,227,35.68,5002,35.14,4927,14.59,2046,11.35,1591,1.62,227,54,7571,0.63,88,40.88,5731,28.3,3968,23.27,3262,5.03,705,1.89,265,46,6449,8,14020
2019-04-01-00-00-00,연극,1.49,10404,41.95,292924,31.18,217721,18.13,126596,5.86,40919,1.39,9706,0.68,4748,36.88,257522,36.54,255148,18.17,126876,6,41896,1.73,12080,36,251377,1.94,13546,44.74,312406,28.24,197191,18.11,126457,5.78,40360,1.2,8379,64,446893,38,698270
2019-04-01-00-00-00,오페라,1.52,858,19.19,10837,32.83,18539,31.82,17969,12.12,6844,2.53,1429,0,0,12.9,7285,33.87,19127,27.42,15484,20.97,11842,4.84,2733,31,17506,2.21,1248,22.06,12458,32.35,18268,33.82,19098,8.09,4569,1.47,830,69,38965,18,56471
2019-04-01-00-00-00,전시/행사,2.38,15947,30.42,203828,39.27,263127,23.55,157796,3.49,23385,0.89,5963,1.85,12396,24.62,164966,44.29,296764,23.46,157193,4.39,29415,1.4,9381,28,187613,2.58,17287,32.66,218837,37.33,250129,23.58,157997,3.15,21106,0.7,4690,72,482434,30,670047
2019-04-01-00-00-00,체험,2.33,11851,38.99,198316,36.09,183566,18.49,94046,3.15,16022,0.96,4883,1.43,7273,31.54,160423,36.19,184075,24.47,124463,4.78,24313,1.58,8036,30,152590,2.72,13835,42.22,214745,36.05,183363,15.89,80822,2.44,12411,0.69,3510,70,356044,35,508634
2019-04-01-00-00-00,콘서트,3.35,25974,30.28,234773,35.08,271989,21.86,169489,7.46,57840,1.97,15274,3.69,28610,27.76,215234,35.02,271524,21.35,165535,9.03,70013,3.15,24423,31,240355,3.19,24733,31.43,243689,35.11,272222,22.1,171350,6.74,52258,1.43,11087,69,534985,26,775340
2019-04-01-00-00-00,클래식,2.04,1909,29.46,27564,33.83,31652,26.03,24354,6.88,6437,1.75,1637,2.24,2096,26.51,24804,33.45,31297,25.43,23793,9.18,8589,3.19,2985,27,25262,1.96,1834,30.55,28583,33.97,31783,26.25,24560,6.04,5651,1.23,1151,73,68301,36,93563
2019-08-01-00-00-00,강좌,2.42,9946,36.31,149234,31.91,131150,22.72,93379,5.36,22030,1.28,5261,1.82,7480,29.67,121944,33.51,137726,26.63,109449,6.34,26057,2.03,8343,40,164400,2.82,11590,40.71,167318,30.84,126752,20.13,82734,4.72,19399,0.79,3247,60,246600,39,411000
2019-08-01-00-00-00,구기스포츠,2.72,4935,12.59,22841,36.05,65402,35.51,64422,10.96,19884,2.17,3937,3.34,6059,13.61,24691,37.62,68250,31.56,57256,12.13,22006,1.73,3139,73,132437,1.01,1832,9.8,17779,31.76,57619,46.28,83961,7.77,14096,3.38,6132,27,48983,34,181420
2019-08-01-00-00-00,국내숙박,0.65,28607,17.75,781181,39.49,1737963,32.78,1442654,7.59,334037,1.74,76578,0.72,31687,16.15,710765,36.39,1601531,34.15,1502948,9.81,431740,2.77,121908,31,1364316,0.62,27286,18.48,813308,40.92,1800897,32.14,1414488,6.57,289147,1.27,55893,69,3036704,39,4401020
2019-08-01-00-00-00,국내여행,0.76,11439,19.93,299964,32.44,488251,31.66,476511,11.77,177149,3.44,51775,0.73,10987,16.59,249694,30.51,459203,33.71,507366,13.52,203488,4.94,74351,34,511731,0.77,11589,21.68,326304,33.45,503453,30.59,460407,10.86,163453,2.65,39885,66,993359,40,1505090
2019-08-01-00-00-00,국악/전통예술,3.25,1322,25.17,10240,32.88,13377,27.74,11286,8.8,3580,2.17,883,3.66,1489,25,10171,24.39,9923,27.44,11164,13.41,5456,6.1,2482,22,8950,3.13,1273,25.22,10261,35.3,14361,27.83,11322,7.48,3043,1.04,423,78,31734,30,40684
2019-08-01-00-00-00,뮤지컬,0.53,2709,7.85,40124,57.68,294820,30.97,158297,2.21,11296,0.76,3885,0.5,2556,7.99,40839,49.5,253009,37.21,190191,3.55,18145,1.25,6389,20,102226,0.53,2709,7.82,39970,59.79,305605,29.37,150119,1.86,9507,0.64,3271,80,408904,33,511130
2019-08-01-00-00-00,발레/무용,1.6,202,18.26,2301,37.82,4766,32.91,4147,7.93,999,1.49,188,1.51,190,12.08,1522,36.86,4645,33.84,4265,12.39,1561,3.32,418,17,2142,1.61,203,19.55,2464,38.03,4793,32.71,4122,6.99,881,1.11,140,83,10460,24,12602
2019-08-01-00-00-00,스포츠,7.21,1818,38.24,9642,27.27,6876,19.44,4902,6.27,1581,1.57,396,11.46,2890,31.85,8031,31.21,7869,16.56,4175,7.01,1768,1.91,482,50,12607,3.09,779,44.44,11205,23.46,5915,22.22,5603,5.56,1402,1.23,310,50,12607,10,25214
2019-08-01-00-00-00,아웃도어스포츠,0.37,1439,29.67,115401,40.08,155891,24.01,93387,5.06,19681,0.82,3189,0.47,1828,24.25,94320,42.42,164993,25.27,98288,6.66,25904,0.93,3617,47,182807,0.28,1089,34.53,134304,37.97,147684,22.88,88992,3.61,14041,0.72,2800,53,206144,37,388950
2019-08-01-00-00-00,연극,2.43,27527,49.7,562992,25.56,289539,16.95,192006,4.53,51315,0.83,9402,1.03,11668,44.64,505673,31.25,353994,17.01,192686,4.98,56412,1.09,12347,34,385145,3.15,35683,52.33,592784,22.62,256235,16.91,191553,4.29,48596,0.7,7929,66,747635,38,1132780
2019-08-01-00-00-00,오페라,1.93,1268,21.24,13956,29.34,19279,30.12,19791,12.74,8371,4.63,3042,3.08,2024,27.69,18195,32.31,21230,18.46,12130,13.85,9101,4.62,3036,25,16427,1.55,1018,19.07,12531,28.35,18628,34.02,22354,12.37,8128,4.64,3049,75,49281,20,65708
2019-08-01-00-00-00,전시/행사,2.52,29782,26.95,318501,40.28,476038,26.4,312001,3.12,36873,0.73,8627,1.88,22218,26.75,316138,38.03,449447,26.49,313065,5.34,63109,1.5,17727,20,236365,2.68,31673,27,319092,40.83,482538,26.37,311647,2.58,30491,0.53,6264,80,945458,36,1181823
2019-08-01-00-00-00,체험,2.54,13597,29.64,158662,37.12,198703,27.34,146350,2.74,14667,0.63,3372,1.78,9528,28.87,154541,34.12,182644,29.8,159519,4.28,22911,1.16,6209,26,139177,2.8,14988,29.91,160108,38.16,204270,26.49,141800,2.2,11777,0.44,2355,74,396121,38,535298
2019-08-01-00-00-00,콘서트,4.92,18620,37.18,140708,32.37,122505,18.94,71679,5.11,19339,1.49,5639,4.61,17447,37.21,140822,33.66,127387,16.81,63618,5.59,21155,2.12,8023,34,128673,5.07,19187,37.16,140632,31.7,119969,20.04,75842,4.86,18393,1.17,4428,66,249778,29,378451
2019-08-01-00-00-00,클래식,5.17,3877,23.38,17533,31.13,23344,32.28,24207,6.24,4679,1.8,1350,4.51,3382,25.67,19250,30.77,23074,28.77,21575,7.64,5729,2.65,1987,24,17998,5.38,4034,22.64,16978,31.25,23434,33.41,25054,5.79,4342,1.53,1147,76,56992,36,74990
2019-02-01-00-00-00,강좌,0.96,6461,26.8,180361,38.52,259235,27.38,184264,5.56,37418,0.78,5249,1.05,7066,19.99,134530,40.17,270339,30.89,207886,6.82,45898,1.07,7201,40,269195,0.91,6124,31.32,210780,37.42,251832,25.05,168583,4.72,31765,0.58,3903,60,403793,39,672988
2019-02-01-00-00-00,국내숙박,0.64,18938,17.15,507486,38.65,1143692,33.92,1003727,7.89,233473,1.74,51488,0.73,21601,15.01,444161,35.89,1062021,35.52,1051072,10.14,300053,2.71,80192,33,976503,0.6,17755,18.19,538260,39.99,1183344,33.14,980646,6.8,201219,1.27,37581,67,1982597,39,2959100
2019-02-01-00-00-00,국내여행,0.9,12067,17.82,238929,29.88,400628,32.86,440584,14.37,192672,4.17,55911,0.79,10592,14.86,199241,28.12,377030,34,455869,15.81,211979,6.42,86079,33,442461,0.95,12738,19.26,258236,30.74,412159,32.31,433209,13.66,183152,3.08,41296,67,898329,40,1340790
2019-02-01-00-00-00,국악/전통예술,0.82,192,7.77,1817,20.3,4748,29.13,6814,26.47,6191,15.51,3628,0.75,175,3.46,809,11.55,2702,29.93,7001,31.7,7415,22.62,5291,48,11227,0.88,206,11.8,2760,28.49,6664,28.38,6638,21.58,5048,8.86,2072,52,12163,23,23390
2019-02-01-00-00-00,뮤지컬,0.6,1927,10.63,34138,55.75,179039,28.59,91816,3.39,10887,1.04,3340,0.48,1542,10.15,32596,49.22,158069,33.73,108323,4.87,15640,1.54,4946,22,70652,0.64,2055,10.77,34588,57.63,185077,27.11,87063,2.96,9506,0.89,2858,78,250495,28,321147
2019-02-01-00-00-00,발레/무용,1.29,87,12.82,860,39.91,2679,38.01,2551,6.45,433,1.52,102,0,0,9.33,626,28.5,1913,52.33,3512,5.7,383,4.15,279,15,1007,1.51,101,13.42,901,41.87,2810,35.56,2387,6.58,442,1.07,72,85,5705,19,6712
2019-02-01-00-00-00,스포츠,1.36,359,33.63,8872,28.66,7561,30.02,7919,5.13,1353,1.21,319,2.05,541,32.42,8552,28.33,7473,30.72,8104,4.78,1261,1.71,451,44,11607,0.81,214,34.59,9125,28.92,7629,29.46,7772,5.41,1427,0.81,214,56,14773,12,26380
2019-02-01-00-00-00,연극,2.15,20786,47.88,462899,28.77,278145,14.95,144535,5.08,49113,1.17,11311,0.95,9185,43.31,418717,34.65,334993,14.88,143858,4.64,44859,1.57,15179,34,328709,2.76,26683,50.18,485135,25.81,249528,14.99,144922,5.3,51240,0.96,9281,66,638081,38,966790
2019-02-01-00-00-00,오페라,1.8,1048,18.02,10491,25.9,15078,35.36,20586,15.32,8919,3.6,2096,3.87,2253,10.32,6008,28.39,16528,29.68,17279,23.87,13896,3.87,2253,35,20376,0.69,402,22.15,12895,24.57,14304,38.41,22361,10.73,6247,3.46,2014,65,37841,17,58217
2019-02-01-00-00-00,전시/행사,2.87,23526,27.15,222554,42.02,344447,24.61,201733,2.63,21559,0.71,5820,1.88,15411,22.98,188372,41.15,337315,28.42,232965,4.26,34920,1.32,10820,21,172141,3.13,25657,28.25,231571,42.25,346332,23.62,193618,2.2,18034,0.55,4508,79,647580,26,819721
2019-02-01-00-00-00,체험,4.88,27900,39.39,225201,32.31,184723,19.41,110971,3.26,18638,0.76,4345,2.94,16809,37.92,216796,30.83,176261,23.4,133782,3.92,22411,0.98,5603,32,182950,5.78,33045,40.08,229145,33,188668,17.55,100337,2.95,16866,0.65,3716,68,388770,33,571720
2019-02-01-00-00-00,콘서트,4.97,7230,33.77,49129,34.58,50307,20.11,29256,5.33,7754,1.25,1819,4.43,6445,35.78,52053,36.15,52591,16.41,23873,5.66,8234,1.57,2284,37,53828,5.28,7681,32.61,47441,33.66,48969,22.24,32355,5.13,7463,1.07,1557,63,91652,21,145480
2019-02-01-00-00-00,클래식,2.78,1435,29.04,14995,33.93,17520,25.37,13100,6.33,3268,2.55,1317,3.04,1570,27.44,14169,33.92,17515,22.19,11458,9.56,4936,3.84,1983,28,14458,2.68,1384,29.68,15325,33.93,17520,26.64,13756,5.04,2602,2.04,1053,71,36661,35,51635
2019-01-01-00-00-00,강좌,1.29,11379,25.73,226959,40.88,360594,26.33,232252,4.99,44016,0.78,6880,1.35,11908,21.19,186913,41.88,369415,28.88,254745,5.86,51690,0.84,7409,42,370474,1.25,11026,28.98,255627,40.16,354243,24.51,216198,4.36,38459,0.73,6439,57,502786,39,882080
2019-01-01-00-00-00,국내숙박,1.01,32465,19.97,641912,39.1,1256823,31.17,1001922,7.13,229185,1.62,52073,1.09,35037,17.5,562517,36.7,1179677,33.07,1062995,9.13,293473,2.51,80681,33,1060745,0.97,31179,21.18,680806,40.28,1294752,30.23,971707,6.15,197684,1.18,37930,67,2153635,39,3214380
