A,K,Away,54,42,4,4,10,4,0,0,8,0,1,7,1,7,0,24,0.352941176,Win
K,A,Home,46,40,5,5,8,4,0,2,4,0,0,6,0,7,1,18,0.304347826,Loss
C,E,Away,46,35,8,9,14,2,0,2,2,1,1,8,1,8,1,23,0.511111111,Win
E,C,Home,42,37,12,12,14,10,0,2,4,1,0,3,1,8,1,17,0.43902439,Loss
D,B,Away,34,29,1,1,7,4,2,0,0,0,0,4,0,6,2,17,0.333333333,Win
B,D,Home,34,30,3,3,8,2,2,1,4,0,1,3,0,5,1,13,0.323529412,Loss
F,G,Away,38,31,4,4,9,0,0,0,4,2,2,4,1,8,1,17,0.368421053,Win
G,F,Home,43,35,9,9,12,0,2,2,2,0,2,6,0,3,0,18,0.418604651,Loss
H,I,Away,36,31,1,1,5,2,2,0,0,1,0,5,0,8,1,12,0.277777778,Win
I,H,Home,42,38,6,6,13,6,0,0,6,0,0,4,0,5,0,23,0.404761905,Loss
A,K,Away,41,32,5,5,9,4,0,1,4,2,0,6,2,9,1,19,0.425,Loss
K,A,Home,39,33,3,3,7,4,0,0,0,0,0,4,2,7,0,15,0.333333333,Win
C,E,Away,40,34,4,4,8,4,0,0,2,0,0,6,0,6,2,20,0.35,Win
E,C,Home,39,29,4,5,6,2,0,2,4,1,0,9,1,8,0,19,0.41025641,Loss
D,B,Away,43,39,6,6,15,10,0,0,6,1,1,3,0,6,0,17,0.418604651,Win
B,D,Home,39,30,7,7,9,2,0,3,0,0,0,6,1,2,0,16,0.432432432,Loss
F,G,Away,38,36,1,1,9,6,0,0,0,0,0,2,0,1,0,20,0.289473684,Win
G,F,Home,29,29,4,4,7,0,0,2,0,0,0,0,0,2,2,7,0.24137931,Loss
H,I,Away,40,33,7,7,9,4,0,1,2,0,1,4,0,5,0,15,0.342105263,Loss
I,H,Home,40,34,3,3,8,0,0,1,6,0,0,5,1,4,0,17,0.35,Win
E,D,Away,38,33,7,7,10,2,0,1,0,0,0,5,0,12,0,15,0.394736842,Loss
D,E,Home,29,26,1,1,6,2,0,0,0,2,0,3,0,5,0,18,0.310344828,Win
I,C,Away,43,41,8,8,15,10,0,2,4,1,0,1,0,6,1,19,0.380952381,Loss
C,I,Home,39,33,6,6,7,8,0,0,0,2,0,5,1,8,0,17,0.333333333,Win
B,H,Away,37,32,2,3,5,2,0,0,0,1,0,5,0,12,0,12,0.27027027,Loss
H,B,Home,31,28,0,0,4,0,0,0,0,1,0,3,0,10,1,8,0.225806452,Win
E,D,Away,41,38,2,2,8,2,2,1,2,0,0,3,0,9,1,16,0.268292683,Win
D,E,Home,43,33,3,3,9,2,0,0,0,0,1,8,0,8,1,17,0.404761905,Loss
K,F,Away,34,31,3,3,6,2,0,0,0,0,1,1,1,6,4,18,0.235294118,Win
F,K,Home,45,41,9,10,18,6,0,3,2,0,1,1,1,6,0,22,0.454545455,Loss
G,A,Away,44,33,5,6,8,6,0,2,2,0,1,10,0,6,1,23,0.409090909,Loss
A,G,Home,36,33,2,3,7,0,0,0,0,0,1,2,0,9,0,8,0.25,Win
I,C,Away,37,32,5,5,9,2,2,1,2,0,0,4,0,4,1,6,0.361111111,Loss
C,I,Home,39,38,1,1,10,4,0,0,2,0,0,1,0,15,0,27,0.282051282,Win
G,A,Away,35,32,2,2,5,0,0,0,0,0,0,2,1,10,1,15,0.228571429,Win
A,G,Home,40,28,4,4,7,2,0,0,0,0,0,11,0,11,1,27,0.461538462,Loss
A,F,Away,39,32,6,6,8,6,0,1,0,2,1,2,4,8,1,15,0.358974359,Win
F,A,Home,43,33,11,11,11,0,0,1,8,0,0,7,1,5,1,19,0.463414634,Loss
B,C,Away,41,35,5,5,12,4,0,2,0,1,0,6,0,8,1,18,0.43902439,Loss
C,B,Home,35,30,0,0,5,2,2,0,0,1,0,4,1,9,1,18,0.285714286,Win
G,E,Away,32,32,0,0,6,0,0,0,0,0,0,0,0,7,1,9,0.1875,Win
E,G,Home,34,29,5,5,8,4,4,1,0,1,1,3,0,8,0,13,0.333333333,Loss
H,K,Away,36,32,3,3,6,4,0,2,0,0,0,4,0,13,1,11,0.277777778,Win
K,H,Home,46,39,14,14,16,10,0,3,2,0,0,6,1,8,1,21,0.5,Loss
I,D,Away,40,37,6,7,9,4,0,2,0,0,0,2,0,3,1,9,0.282051282,Loss
D,I,Home,43,35,3,3,7,8,0,0,0,0,1,3,3,8,1,18,0.30952381,Win
B,C,Away,46,42,9,10,14,2,0,2,8,2,0,4,0,10,1,23,0.391304348,Loss
C,B,Home,38,35,2,2,9,6,0,0,6,0,0,3,0,3,1,20,0.315789474,Win
H,K,Away,46,38,10,10,11,4,0,1,2,0,0,7,0,9,0,17,0.4,Loss
K,H,Home,36,33,3,4,7,8,0,0,4,0,0,3,0,9,1,13,0.277777778,Win
I,D,Away,33,26,2,2,1,0,0,1,2,2,0,6,1,11,1,12,0.242424242,Win
D,I,Home,33,30,3,3,9,2,0,0,2,1,0,2,0,5,1,9,0.34375,Loss
A,F,Away,33,33,2,2,8,2,0,0,0,0,0,0,0,6,2,11,0.242424242,Win
F,A,Home,38,33,9,9,11,2,0,3,4,0,0,2,2,6,0,11,0.405405405,Loss
B,C,Away,42,31,4,4,8,4,0,0,0,0,0,9,0,5,2,24,0.425,Loss
C,B,Home,32,30,1,1,6,4,0,0,0,0,0,2,0,5,3,14,0.25,Win
G,E,Away,36,35,4,4,8,0,0,1,4,1,0,1,0,7,0,12,0.25,Win
E,G,Home,48,37,14,16,14,6,0,4,0,0,0,11,0,10,3,21,0.520833333,Loss
H,K,Away,49,39,11,13,13,6,0,2,10,0,0,8,1,9,1,29,0.458333333,Loss
K,H,Home,43,37,7,7,13,8,0,3,0,0,2,3,1,9,0,19,0.395348837,Win
I,D,Away,36,28,5,5,4,0,0,0,4,1,1,7,0,8,1,8,0.305555556,Win
D,I,Home,39,34,5,6,12,4,0,0,2,2,2,2,1,7,1,9,0.384615385,Loss
C,H,Away,41,34,2,2,10,4,0,1,4,0,0,4,0,12,0,20,0.368421053,Win
H,C,Home,38,29,3,3,9,2,0,0,0,2,0,7,0,5,0,17,0.444444444,Loss
D,A,Away,49,40,2,3,10,0,0,1,2,0,0,8,0,15,1,24,0.375,Win
A,D,Home,51,39,4,4,14,2,0,0,2,1,0,8,1,6,1,30,0.479166667,Loss
E,I,Away,32,29,1,1,4,2,0,1,0,1,0,3,0,10,1,9,0.21875,Win
I,E,Home,37,31,3,3,8,2,0,1,4,0,1,5,0,9,0,18,0.351351351,Loss
F,B,Away,41,35,5,5,8,6,2,1,6,0,0,4,2,8,0,21,0.341463415,Loss
B,F,Home,35,31,3,3,6,2,0,1,0,1,1,1,1,9,0,10,0.235294118,Win
K,G,Away,54,52,16,17,27,10,2,4,0,0,0,2,0,10,1,20,0.537037037,Loss
G,K,Home,35,34,3,4,10,6,0,0,2,1,0,1,0,9,2,14,0.314285714,Win
C,H,Away,34,32,1,1,5,2,0,0,2,0,0,2,0,11,0,11,0.205882353,Win
H,C,Home,34,28,2,2,8,2,0,1,0,1,1,5,0,3,3,21,0.382352941,Loss
D,A,Away,36,32,2,3,8,4,0,1,2,1,0,2,0,10,0,11,0.294117647,Loss
A,D,Home,36,29,2,2,7,2,2,0,2,1,0,4,0,7,1,17,0.333333333,Win
E,I,Away,37,31,2,2,8,0,0,0,4,0,2,2,1,13,1,21,0.305555556,Win
I,E,Home,31,28,4,4,5,0,0,1,2,0,1,2,0,8,0,4,0.225806452,Loss
F,B,Away,51,38,13,13,14,6,0,3,0,1,0,7,4,5,0,21,0.510204082,Loss
B,F,Home,41,32,4,5,5,0,0,1,2,0,0,6,3,7,0,17,0.341463415,Win
K,G,Away,40,32,4,4,8,6,0,0,2,2,0,6,1,9,0,20,0.384615385,Win
G,K,Home,38,33,9,9,11,6,0,1,4,0,0,4,0,7,0,15,0.405405405,Loss
C,H,Away,35,34,2,2,7,2,0,1,0,0,0,0,1,8,0,14,0.228571429,Win
H,C,Home,47,39,13,13,16,6,0,3,0,0,0,8,0,10,1,25,0.510638298,Loss
D,A,Away,39,27,3,4,5,0,0,0,2,0,0,8,1,5,3,17,0.388888889,Win
A,D,Home,37,32,4,5,7,6,0,1,0,0,0,3,1,9,0,16,0.305555556,Loss
E,I,Away,38,34,4,4,9,4,0,1,2,0,0,1,2,4,1,11,0.324324324,Win
I,E,Home,42,33,5,5,11,0,0,3,4,0,0,6,1,5,0,21,0.45,Loss
F,B,Away,42,38,4,4,13,6,2,1,8,0,1,3,0,11,0,27,0.380952381,Loss
B,F,Home,36,34,2,2,7,0,0,2,2,0,0,2,0,5,1,8,0.25,Win
K,G,Away,30,27,0,0,0,0,0,0,0,0,0,3,0,8,0,6,0.1,Win
G,K,Home,31,28,1,1,5,0,0,0,6,0,0,3,0,6,1,14,0.258064516,Loss
A,E,Away,50,45,8,9,14,6,0,1,0,0,1,3,0,12,2,23,0.346938776,Win
E,A,Home,50,42,10,10,10,6,0,2,4,0,0,6,2,20,0,20,0.36,Loss
B,I,Away,47,40,3,3,10,6,0,1,0,0,0,5,1,13,1,16,0.347826087,Win
I,B,Home,52,42,4,4,12,4,2,3,2,2,0,8,1,10,0,27,0.411764706,Loss
C,K,Away,33,32,0,0,5,0,0,0,0,0,0,0,1,16,0,11,0.181818182,Win
K,C,Home,34,27,6,6,6,2,0,1,0,1,0,5,0,8,0,10,0.34375,Loss
G,D,Away,35,30,1,2,5,2,0,0,4,0,0,5,0,5,2,16,0.285714286,Win
D,G,Home,37,30,5,5,9,4,0,1,0,1,0,6,0,9,0,13,0.416666667,Loss
H,F,Away,38,29,3,3,6,0,0,0,0,0,1,5,2,5,1,13,0.351351351,Loss
F,H,Home,31,28,2,2,2,2,0,0,0,0,0,2,1,9,1,8,0.161290323,Win
A,E,Away,38,34,4,4,8,2,0,2,4,0,0,3,0,6,1,13,0.297297297,Loss
E,A,Home,35,29,0,1,3,2,0,0,2,1,0,6,0,8,1,12,0.257142857,Win
B,I,Away,33,32,2,2,6,2,0,0,0,0,0,1,0,11,1,11,0.212121212,Win
I,B,Home,37,32,5,5,10,4,0,2,4,0,0,5,0,7,1,19,0.405405405,Loss
C,K,Away,44,37,6,6,10,2,2,0,2,0,0,5,1,6,0,23,0.372093023,Loss
K,C,Home,38,35,4,4,9,0,0,0,0,0,0,3,0,12,0,13,0.315789474,Win
G,D,Away,46,40,9,9,12,4,2,1,4,0,1,4,1,4,0,15,0.369565217,Loss
D,G,Home,38,33,6,6,10,2,0,2,2,0,0,2,2,5,2,17,0.378378378,Win
H,F,Away,34,32,2,2,6,4,0,0,0,0,0,2,0,7,1,17,0.235294118,Win
F,H,Home,36,27,2,4,5,0,0,0,2,0,1,6,1,3,0,12,0.342857143,Loss
B,I,Away,40,36,9,9,10,2,0,4,2,0,1,2,0,4,0,7,0.307692308,Loss
I,B,Home,38,36,7,7,9,4,2,2,0,0,0,2,0,8,0,9,0.289473684,Win
C,K,Away,38,31,5,5,6,2,0,1,2,0,0,4,1,9,0,13,0.305555556,Loss
K,C,Home,37,30,3,3,7,0,0,1,0,0,0,6,1,5,4,18,0.378378378,Win
G,D,Away,37,31,2,2,9,6,0,0,0,2,0,5,0,4,2,15,0.388888889,Win
D,G,Home,32,27,3,3,6,2,0,1,0,0,0,4,0,5,2,15,0.322580645,Loss
H,F,Away,44,38,9,11,11,10,0,2,0,0,1,3,2,6,0,10,0.363636364,Loss
F,H,Home,39,36,7,8,9,4,0,2,0,0,0,3,0,10,0,10,0.307692308,Win
F,E,Away,41,36,4,4,9,6,0,0,4,0,0,4,1,13,1,15,0.341463415,Win
E,F,Home,35,28,5,5,7,0,0,2,4,1,0,6,1,8,1,12,0.4,Loss
G,C,Away,53,44,18,18,22,14,0,5,0,1,1,6,1,6,2,21,0.557692308,Loss
C,G,Home,38,28,0,2,4,2,0,0,4,0,0,8,1,4,2,20,0.351351351,Win
I,A,Away,40,36,3,3,11,2,0,1,0,0,0,3,0,5,1,18,0.358974359,Win
A,I,Home,36,33,5,5,12,4,4,2,0,2,0,1,1,7,0,10,0.4,Loss
B,D,Away,44,40,8,9,16,8,0,0,0,1,0,2,1,6,0,21,0.441860465,Loss
D,B,Home,37,32,4,4,8,4,2,0,0,1,0,5,0,5,3,19,0.351351351,Win
F,E,Away,34,30,0,0,3,2,0,0,6,0,0,4,0,8,0,12,0.205882353,Win
E,F,Home,37,29,6,6,8,4,0,1,0,0,0,6,0,9,1,14,0.4,Loss
K,H,Away,40,36,6,6,8,4,0,1,2,0,0,3,1,9,0,11,0.3,Loss
H,K,Home,37,35,4,4,9,2,0,2,2,0,0,2,0,11,1,13,0.297297297,Win
G,C,Away,58,45,7,7,12,4,0,0,0,0,1,10,2,8,3,35,0.413793103,Loss
C,G,Home,57,43,6,6,9,6,0,2,4,0,1,11,1,13,0,28,0.375,Win
I,A,Away,43,39,8,8,14,4,0,2,6,0,1,3,0,9,1,16,0.395348837,Loss
A,I,Home,38,36,3,3,9,4,0,0,0,0,0,1,1,7,1,17,0.289473684,Win
B,D,Away,44,37,4,5,14,4,0,0,0,0,1,6,0,9,1,25,0.454545455,Win
D,B,Home,45,29,9,10,6,0,0,2,6,0,1,13,1,10,0,22,0.454545455,Loss
F,E,Away,41,37,7,8,15,6,0,0,0,0,1,1,0,9,1,11,0.41025641,Loss
E,F,Home,36,31,3,3,6,0,0,2,6,0,0,5,0,7,2,15,0.305555556,Win
K,H,Away,30,27,0,0,1,0,0,0,0,0,0,1,1,7,0,7,0.103448276,Win
H,K,Home,43,32,9,10,10,2,0,1,2,0,1,8,2,8,1,23,0.465116279,Loss
C,I,Away,37,34,1,1,7,4,0,0,4,0,0,2,1,9,0,16,0.27027027,Win
I,C,Home,38,31,6,6,8,2,0,1,8,2,0,6,1,6,0,12,0.394736842,Loss
D,H,Away,38,34,5,6,9,2,0,4,0,0,0,1,2,8,1,10,0.324324324,Loss
H,D,Home,35,31,1,1,8,0,0,0,0,1,0,2,2,8,2,15,0.342857143,Win
E,G,Away,33,29,1,1,4,2,0,1,0,0,0,4,0,7,2,13,0.242424242,Win
G,E,Home,44,39,12,12,15,6,0,1,0,0,0,4,1,6,0,22,0.454545455,Loss
