절도,1528,1,184,949,187,49,373,55,170,22,232,27,67,144,51,6116,39,105,673,243,299,1933,439,245,13,9521,44,218,869,4611,7843,58,3,20,160,15,174,1681,203,1,19051,2983,8,136,35547,9366
장물,5,0,4,12,90,11,10,1,3,11,6,0,4,11,0,813,0,2,12,11,6,68,6,9,1,304,0,8,9,31,197,5,0,3,6,0,2,44,4,1,420,20,0,5,537,439
사기,2552,37,1334,9480,1038,553,1275,164,560,291,2350,118,294,165,16,30418,73,424,1190,558,277,2632,330,786,26,21886,119,520,1583,8690,16020,691,147,105,836,106,380,4746,519,1,6633,3934,7,254,53765,45239
횡령,688,2,253,963,163,76,178,44,44,22,284,26,43,37,4,5042,29,115,191,106,64,993,221,111,10,3725,38,43,261,1247,2855,84,37,70,157,16,75,725,230,0,1613,702,0,23,7694,7011
배임,207,0,95,390,46,9,36,5,4,28,125,1,7,1,0,1498,16,50,21,2,11,251,16,18,14,1163,65,1,20,119,462,40,26,10,48,4,9,182,101,0,10,153,0,0,1380,3425
손괴,1149,2,131,1090,99,31,256,31,96,16,258,8,53,67,5,4404,22,69,492,52,101,1105,199,97,18,5781,24,50,265,1997,2568,64,7,16,132,16,88,734,170,0,1406,645,2,43,8074,3552
살인,19,0,1,9,2,1,5,1,0,0,5,0,1,2,0,57,0,0,18,1,5,24,4,3,1,69,0,1,11,74,71,4,0,0,4,0,0,7,5,0,25,22,0,1,405,128
강도,10,0,1,8,6,5,7,0,7,0,3,0,2,2,0,69,0,1,7,6,3,25,4,0,0,136,0,8,7,107,94,0,1,0,1,0,1,17,5,0,144,10,0,3,676,121
방화,32,0,3,13,1,0,7,0,3,0,1,1,2,3,0,104,0,1,25,2,6,25,4,0,2,82,0,2,5,99,71,0,0,0,6,1,1,13,1,0,117,21,0,2,513,94
성폭력,401,0,115,340,70,35,215,33,112,19,133,24,37,35,4,2872,94,63,341,111,113,750,197,109,13,6109,47,92,357,1260,2330,138,5,36,108,23,143,1009,415,4,4580,62,22,91,6903,2867
폭행,3393,6,771,4865,569,236,2050,244,1217,104,1221,78,254,514,18,31113,132,433,2752,441,570,9417,1258,833,49,38577,168,793,1954,11071,18189,262,39,82,509,121,612,4913,1004,0,15040,4983,18,329,47894,19903
상해,2037,4,224,1486,216,70,749,91,457,22,409,42,93,189,6,8832,42,100,878,134,306,2539,359,209,12,11272,53,336,547,4459,5971,116,7,24,224,20,144,1557,346,0,7082,1496,5,133,15685,5132
협박,423,1,65,391,53,13,145,22,45,14,117,4,27,33,0,2378,12,28,232,26,33,1002,80,60,4,2680,30,22,113,994,1241,39,12,8,67,22,52,375,118,0,705,261,0,8,3814,1694
공갈,69,1,12,71,14,7,32,3,26,11,26,1,3,23,1,486,4,6,18,17,10,80,17,19,0,339,4,21,19,155,313,0,1,2,13,77,7,65,13,0,1339,34,1,7,1473,687
약취와유인,8,0,0,4,2,0,1,0,3,1,3,0,0,1,0,22,1,0,2,1,1,8,0,0,0,37,1,1,2,12,13,1,0,0,1,0,0,7,5,0,19,10,0,0,100,32
체포와감금,29,0,9,50,7,0,17,10,14,2,18,4,7,1,0,343,0,6,21,6,4,84,14,9,2,350,2,16,13,79,199,12,2,4,16,1,4,63,43,0,188,64,0,7,640,411
"폭력행위등(손괴,강요,주거침입등)",40,0,8,81,4,4,9,9,0,3,14,1,3,20,0,269,11,0,19,1,25,24,37,7,0,500,1,6,11,96,272,4,1,3,45,3,8,30,13,0,446,97,0,4,514,344
"폭력행위등(단체등의구성,활동)",5,0,1,17,2,0,6,0,8,0,8,0,0,1,0,56,0,0,1,0,0,4,0,0,0,43,0,2,6,10,29,0,0,0,0,0,0,9,0,0,35,0,0,1,285,89
통화,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0,11,0,0,0,1,0,2,0,0,0,8,0,0,1,3,11,0,0,0,1,0,0,2,1,0,19,1,0,1,362,133
유가증권·인지·우표,7,0,7,19,3,1,3,0,0,1,1,0,0,0,0,82,0,3,1,1,0,5,1,2,0,30,0,0,1,4,11,0,0,1,2,0,0,2,0,0,3,2,0,0,84,129
문서,361,2,91,559,76,28,86,14,20,29,250,13,8,5,2,2334,19,89,39,47,30,145,38,56,4,1704,57,28,77,335,947,118,75,24,147,8,17,471,577,0,1457,359,0,10,3294,3919
인장,26,0,11,14,2,2,0,0,1,0,4,0,2,0,0,102,2,7,1,1,2,12,4,1,0,54,0,2,5,22,52,0,4,1,15,0,4,9,4,0,17,4,0,0,106,108
직무유기,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,9,7,0,0,0,0,1,0,0,22,18,2,0,0,0,3,3,4,3,1,0,0,3,772,0,4,0,0,0,16,1186
직권남용,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,18,5,1,0,0,0,0,0,0,8,20,0,0,0,1,11,0,1,2,1,0,0,32,771,0,0,2,0,0,21,1274
수뢰,9,0,3,27,15,1,2,0,1,0,3,4,0,0,0,89,1,2,2,0,0,1,3,0,25,74,12,0,0,0,24,20,1,5,0,11,1,26,384,0,0,21,0,0,91,399
증뢰,18,1,20,43,2,0,11,0,2,0,3,1,0,0,0,140,0,2,3,0,0,0,0,0,0,62,1,3,1,2,5,1,2,0,2,0,0,10,33,0,1,2,0,0,40,255
도박과복표,1040,0,97,529,92,23,266,17,124,5,180,4,24,38,1,3716,8,29,262,26,57,1677,64,69,5,3145,7,40,219,1111,1805,17,2,2,26,3,10,261,78,0,305,788,1,20,5716,2009
