음식의 이름,식품 제조사,중량,단위,알러지유발,칼로리,나트륨,탄수화물,당류,포화지방,단백질
감튀 레드칠리맛,농심,60,1봉지,밀/대두/토마토/우유/새우,320,350,36,3.6,6,3
새우깡,농심,90,1봉지,밀/새우/대두/우유함유,465,610,54,5,8,6
고구마깡,농심,83,1봉지,밀함유,415,370,58,17,6,3.4
꿀꽈배기,농심,90,1봉지,밀/우유함유,450,230,63,21,7,2.8
바나나킥,농심,75,1봉지,우유/계란함유,315,100,66,37,1.7,3
알새우칩,농심,68,1봉지,밀/계란/대두/우유/새우/쇠고기함유,345,510,46,8,6,1.4
양파링,농심,84,1봉지,밀/쇠고기/대두/우유/돼지고기/조개류,400,580,61,6,6,2.9
오징어집,농심,84,1봉지,밀/오징어/대두/우유/새우,455,410,49,5,8,6
인디안밥,농심,83,1봉지,우유/대두,420,620,55,3.3,7,5
자갈치,농심,90,1봉지,새우/대두/우유/밀/쇠고기/게,470,440,58,6,8,5
조청유과,농심,96,1봉지,밀,530,250,60,24,10,2.4
쫄병스낵,농심,82,1봉지,밀/우유/대두/토마토/쇠고기,430,420,49,6,12,5
포테토칩 오리지널,농심,60,1봉지,대두,345,260,32,1.8,8,3
포테토칩 샤워크림 어니언,농심,60,1봉지,우유/대두,345,280,32,3,8,2.6
포테토칩 에그토스트맛,농심,53,1봉지,밀/대두/우유/계란,305,230,29,4.2,6,2.5
포테토칩 김치사발면맛,농심,60,1봉지,우유/대두/밀/쇠고기/돼지고기/닭고기,350,350,31,2.5,8,2.8
포스틱,농심,84,1봉지,밀/대두/우유/쇠고기,395,530,63,3.5,4.9,4.1
닭다리 후라이드치킨맛,농심,66,1곽,대두/밀/쇠고기/닭고기,335,310,42,3.9,5,4.1
닭다리 핫숯불바베큐,농심,66,1곽,닭고기,345,460,42,4.6,5,4.3
양파깡,농심,83,1봉지,밀/대두/토마토/우유/쇠고기,440,480,52,5,8,4
미니 짜파링,농심,65,1봉지,우유/대두/밀/게/새우/돼지고기/쇠고기/조개류,320,490,45,6,4.7,3
쫄병 짜파게티,농심,30,1회제공량,계란/우유/대두/밀/돼지고기/쇠고기/게/새우/조개류,150,250,18,2.7,3.7,2
쌀새우깡,농심,80,1봉지,밀/새우/대두/우유/쇠고기,410,460,52,5,6,5
매운새우깡,농심,30,1회제공량,밀/새우/대두/우유/토마토/게/돼지곡/쇠고기,150,220,20,2.1,2,2
꼬북칩 달콤한 콩가루 인절미맛,오리온,30,1회제공량,밀/우유/대두/땅콩,172,110,14,4,4.9,2
