광역시도명,시군구명,날짜,시간대별,강수,%,mm,℃,m/s,바람,한식,분식,카페-디저트,돈까지-일식,회,치킨,피자,아시안-양식,중식,족발-보쌈,야식,찜탕,도시락,패스트푸드
강원도,강릉시,2020.7.1,13,없음,82,0,18.8,4,약간강,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.1,18,없음,78,0,18.5,2.8,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.2,13,없음,74,0,21.9,1.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.3,11,없음,84,0,20.5,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.4,16,없음,84,0,19.8,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.4,18,없음,67,0,23,2.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,11,없음,73,0,24.5,2.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,12,없음,71,0,24,1.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,14,없음,70,0,23.6,1.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,15,없음,71,0,23.7,1.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,16,없음,73,0,23.3,1.7,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,17,없음,76,0,22.6,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.5,19,없음,80,0,21.7,1.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.6,11,없음,84,0,22.9,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.6,13,없음,88,0,22.2,0.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.6,16,없음,95,0,20.6,1.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.6,17,없음,94,0,20.9,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.7,12,없음,77,0,23.6,1.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.7,14,없음,74,0,23.2,2.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.7,15,없음,74,0,22.9,2.5,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.7,17,없음,75,0,22.5,2.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.8,10,없음,87,0,22.5,1.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.9,11,없음,88,0,22.6,1.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.9,14,없음,90,0,21.7,0.6,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.9,17,없음,89,0,21.9,1.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.10,13,비,98,2,21.8,1.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.10,17,없음,97,0.4,20.8,2.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.11,11,없음,91,0,19.9,0.3,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.11,12,없음,91,0,19.7,0.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.11,13,없음,92,0,19.5,0.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.11,14,없음,93,0,19.2,0.9,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.11,17,없음,90,0,17.9,2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.12,13,비,94,0.4,19.2,0.8,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.12,15,없음,93,0,18.6,0.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.12,16,없음,95,0,18.6,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.14,11,없음,93,0,18.6,1.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.14,13,없음,93,0,18.2,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.14,15,없음,93,0,18,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.15,14,없음,91,0,16.4,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,11,없음,82,0,21.1,1.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,13,없음,87,0,19.5,1.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,14,없음,88,0,18.8,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,15,없음,89,0,18.3,0.4,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,16,없음,88,0,18,0.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,17,없음,90,0,17.6,1.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.16,18,없음,90,0,17.1,2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.17,12,없음,82,0,21.1,0.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.17,13,없음,87,0,20.4,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.17,14,없음,89,0,19.7,1.6,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.17,16,없음,90,0,18.6,1.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.17,18,없음,90,0,18.4,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,12,없음,88,0,20.5,1.1,약,0,0,7,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,13,없음,89,0,19.9,0.5,약,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,14,없음,91,0,19.5,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,15,없음,89,0,19.6,0.6,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,16,없음,87,0,19.6,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.18,18,없음,87,0,19.3,1.5,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.19,13,없음,89,0,22.8,1.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.19,14,없음,89,0,22.7,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.19,16,없음,82,0,25.1,0.7,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.19,17,없음,70,0,28.2,2.8,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.19,19,없음,61,0,30.3,4.3,약간강,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.20,10,없음,63,0,27.1,3.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.20,15,없음,65,0,25.9,4.2,약간강,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.20,18,없음,61,0,26,3.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.21,12,없음,77,0,24.7,0.9,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.21,14,없음,79,0,23.6,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.21,16,없음,81,0,23.6,2.5,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.22,12,없음,84,0,23.4,0.4,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.22,13,없음,87,0,23,0.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.22,14,없음,88,0,22.7,0.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.23,12,비,97,4.4,20,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.23,13,비,97,4.2,20,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.23,14,비,98,6,19.7,2.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.23,15,비,98,5.7,20.3,2.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.24,11,비,100,0.3,20.7,2.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.24,15,없음,100,0,20.9,0.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.25,10,비,100,5.4,20.5,2.5,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.25,13,비,100,2.3,20.3,3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.25,17,없음,98,0.6,19.8,1.4,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.26,10,없음,94,0,20.8,1.6,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.26,11,없음,94,0,20.7,1.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.26,12,없음,94,0,20.6,0.9,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.26,14,없음,95,0,20.6,0.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.26,16,없음,96,0,20.5,0.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,10,없음,96,0,20.6,1.5,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,11,없음,98,0,20.3,1.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,12,없음,98,0,20.3,1.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,13,없음,99,0,20.3,1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,14,없음,99,0.2,20.3,0.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,15,비,99,0.5,20.3,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,16,없음,99,0.4,20.4,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,17,비,98,0.1,20.4,0.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.27,18,없음,98,0,20.4,0.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.28,11,비,96,0.3,21.2,0.8,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.28,13,없음,97,0,21,0.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.28,15,비,98,0,20.9,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.28,18,없음,99,1.3,20.7,1.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,10,없음,94,0,22.1,0.9,약,0,0,5,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,11,없음,94,0,22,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,12,없음,95,0,21.9,0.9,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,13,없음,95,0,21.7,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,14,없음,96,0,21.8,0.6,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.29,15,없음,96,0,21.7,0.3,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.30,12,없음,93,0,22.2,0.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.30,15,없음,69,0,25.6,2.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.31,11,없음,65,0,28.8,2.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.31,13,없음,64,0,29,2.4,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020.7.31,19,비,75,0,26.2,3.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,동해시,2020.7.14,22,없음,92,0.2,17.1,2,약,0,0,0,0,0,1,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.1,15,없음,77,0,18.2,1.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.2,11,없음,77,0,21.2,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.2,14,없음,86,0,19.6,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.2,15,없음,86,0,19.1,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.2,17,없음,79,0,19.4,1.4,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,11,없음,91,0,19.1,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,12,없음,93,0,19,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,14,없음,93,0,19,0.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,15,없음,93,0,18.9,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,16,없음,91,0,18.8,0.9,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.3,17,없음,92,0,18,0.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,11,없음,88,0,18.6,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,12,없음,88,0,18.6,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,14,없음,88,0,18.3,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,15,없음,89,0,18.1,0,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,17,없음,86,0,18.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.4,19,없음,72,0,20.8,1.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.5,15,없음,70,0,22.3,0,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.5,19,없음,71,0,21.2,2.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.6,14,없음,92,0,20.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.7,11,없음,89,0,21.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.8,11,없음,89,0,21.6,0.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.8,13,없음,89,0,21.3,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.9,11,없음,87,0,21,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.9,15,없음,91,0,20.4,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.9,17,없음,89,0,20.9,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.9,18,없음,93,0,20.6,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.10,11,없음,96,0,21.6,0.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.10,12,없음,96,0,21.7,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.10,15,비,97,1,21.2,2,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.11,10,없음,87,0,19.8,2.3,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.11,11,없음,88,0,19.7,1.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.11,16,없음,87,0,18.9,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.11,20,없음,94,0,18.2,0,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.14,14,없음,90,0,18.1,1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.15,20,없음,93,0,15.3,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.16,11,없음,90,0,18.6,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.16,13,없음,-1,0,16.8,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.16,16,없음,93,0,16.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.17,14,없음,94,0,17.2,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.18,10,없음,88,0,20,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.18,12,없음,92,0,18.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.18,14,없음,94,0,17.7,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.19,10,없음,88,0,22.7,1.8,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.19,12,없음,90,0,22.2,0.7,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.19,15,없음,79,0,24.9,1.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.19,17,없음,75,0,25.7,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.19,19,없음,79,0,24.8,0.5,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.21,18,없음,81,0,22.1,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.22,15,없음,92,0,20.8,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.22,18,없음,94,0,20.4,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.22,19,없음,94,0,20.3,0,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.23,10,비,95,2,19.7,1.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.24,12,없음,97,1,21,2.2,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.24,13,비,97,4,20.9,2.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.24,14,없음,97,0,20.7,1.9,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.24,18,비,97,1,20.6,1.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.24,20,비,97,2,20.8,2.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.25,11,없음,97,0.5,20.4,1.7,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.25,19,없음,97,0,19.5,0.1,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.26,10,없음,96,0,20.2,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.26,11,비,96,0.5,20.2,2.3,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.26,19,없음,97,0,20,1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.27,12,없음,97,0,20,1.5,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.27,13,없음,97,0,19.9,1.4,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.27,17,없음,97,0,20.1,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.27,20,비,97,0.5,20.1,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.28,11,비,95,5,20.4,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.28,13,없음,96,0,20.4,0,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.28,15,없음,96,0,20.3,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.29,11,비,94,0,21.1,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.29,13,없음,96,0,20.9,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.29,15,비,97,4.5,21,0,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,2020.7.30,18,없음,75,0,22.7,1.1,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,속초시,2020.7.7,12,없음,84,0,22.9,0,약,0,0,0,0,0,0,0,0,0,1,0,0,0,0
강원도,양구군,2020.7.5,18,없음,94,0,17,0.7,약,0,0,0,0,0,1,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,11,없음,80,0,20,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,1
강원도,원주시,2020.7.1,12,없음,82,0,19.2,0.1,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,13,없음,87,0,18.4,0,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,14,없음,86,0,18.3,0.6,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,15,없음,85,0,18,0.2,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,16,없음,84,0,18.1,0.3,약,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,18,없음,86,0,18.1,0.4,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,19,없음,86,0,18.1,0.4,약,0,0,10,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,20,없음,85,0,18.5,0.6,약,0,0,9,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,21,없음,81,0,19.4,0.9,약,0,0,10,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.1,22,없음,73,0,21.2,0.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,11,없음,56,0,24.7,1.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,12,없음,59,0,24.1,0.7,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,13,없음,60,0,24,0.3,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,14,없음,57,0,24.3,1.3,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,15,없음,61,0,23.4,1.1,약,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,16,없음,67,0,22.5,0.6,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,17,없음,76,0,21.8,0.8,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,18,없음,78,0,21.4,0,약,0,0,9,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,19,없음,75,0,20.7,0.3,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,20,없음,76,0,20.7,0.3,약,0,0,9,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,21,없음,65,0,22.6,0.9,약,0,0,5,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.2,22,없음,63,0,23.8,1.6,약,0,0,5,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,10,없음,46,0,23.7,1.9,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,11,없음,51,0,23,0.7,약,0,0,2,0,0,0,0,0,1,0,0,0,0,0
강원도,원주시,2020.7.3,12,없음,53,0,22.6,0.4,약,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,13,없음,59,0,21.8,1.1,약,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,14,없음,60,0,21.2,0.6,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,15,비,69,0,19.9,0.7,약,0,0,5,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,16,비,79,0.5,19.2,0.2,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,17,비,76,0.2,18.7,0.6,약,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,원주시,2020.7.3,18,비,84,0.1,18.1,0.5,약,0,0,3,0,0,0,0,0,0,0,0,0,0,0
